,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,last_updated,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated
10,6636,Polkadot,DOT,polkadot-new,330,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,987579314.957085,1103303471.382273,,11,904869778.0,17470242323.041203,2022-04-21T16:00:00.000Z,19.30691326839872,752946610.1510754,-5.0875,-0.46501974,1.18419674,9.26488594,-3.28219049,13.58768516,-12.74521947,19067108179.54106,0.9813,21301384430.7,2022-04-21T16:00:00.000Z
11,74,Dogecoin,DOGE,dogecoin,465,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,12,,,2022-04-21T16:00:00.000Z,0.14071839579179884,761133537.9093118,-26.6732,-0.22434869,-0.55592708,0.74941888,13.91004566,2.58438631,-8.15145761,18669217120.752953,0.9597,18669217120.75,2022-04-21T16:00:00.000Z
12,7129,TerraUSD,UST,terrausd,449,2020-09-21T00:00:00.000Z,"['cosmos-ecosystem', 'stablecoin', 'terra-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,17850001031.706783,17850001031.706783,,13,,,2022-04-21T16:00:00.000Z,1.0017100766244815,642246824.5415976,40.262,-0.06214079,-0.00634862,0.09644674,0.08440899,-0.16756101,0.42841245,17880525901.218075,0.9202,17880525901.22,2022-04-21T16:00:00.000Z
13,4687,Binance USD,BUSD,binance-usd,3528,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,17275442605.449257,17275442605.449257,"{'id': 1839, 'name': 'BNB Beacon Chain (BEP2)', 'symbol': 'BNB', 'slug': 'bnb', 'token_address': 'BUSD-BD1'}",14,,,2022-04-21T16:00:00.000Z,0.9987926843768357,4388985507.420685,-9.6232,-0.23128944,-0.2212399,-0.03955596,-0.2128389,-0.25574823,-0.0825202,17254585693.69462,0.888,17254585693.69,2022-04-21T16:00:00.000Z
14,5994,Shiba Inu,SHIB,shiba-inu,336,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,549063278876301.94,589735030408322.8,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce'}",15,,,2022-04-21T16:00:00.000Z,2.501006784644764e-05,471087215.4542774,-26.9231,-0.31920696,0.31221,-1.56830226,5.81884754,-2.08965386,-0.3890907,13732109856.689312,0.706,14749313121.94,2022-04-21T16:00:00.000Z
15,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,405,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem']",,280105.58068486,280105.58068486,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x2260fac5e5542a773aa44fbcfedf7c193bc2c599'}",16,,,2022-04-21T16:00:00.000Z,42252.051637797194,183703447.51487237,-18.8256,-0.54878203,2.47460264,5.40668317,-0.97628794,10.11187398,9.02737154,11835035459.131874,0.6084,11835035459.13,2022-04-21T16:00:00.000Z
16,6535,NEAR Protocol,NEAR,near-protocol,128,2020-08-11T00:00:00.000Z,"['platform', 'staking', 'coinbase-ventures-portfolio', 'arrington-xrp-capital-portfolio', 'coinfund-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'near-protocol-ecosystem', 'injective-ecosystem', 'bnb-chain']",1000000000.0,676834632.0,1000000000.0,,17,,,2022-04-21T16:00:00.000Z,16.93375827843037,1122556875.5853808,-19.0602,2.6571395,1.47565966,3.29536112,49.86176274,81.76042783,16.93247953,11461354052.758373,0.5892,16933758278.43,2022-04-21T16:00:00.000Z
17,3890,Polygon,MATIC,polygon,370,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",10000000000.0,7808492080.62,10000000000.0,,18,,,2022-04-21T16:00:00.000Z,1.4482720721389768,598394006.360266,-13.3066,-0.69184953,2.03950817,5.75704055,-4.28251172,-5.44025843,-23.19719572,11308821005.880318,0.582,14482720721.39,2022-04-21T16:00:00.000Z
18,3635,Cronos,CRO,cronos,131,2018-12-14T00:00:00.000Z,"['medium-of-exchange', 'cosmos-ecosystem', 'centralized-exchange', 'mobile', 'payments']",30263013692.0,25263013692.0,30263013692.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b'}",19,,,2022-04-21T16:00:00.000Z,0.42212324253676636,46539161.89328071,2.4155,-0.40793774,2.22500219,2.99905234,1.7062176,2.93535793,4.77331548,10664105255.917765,0.5488,12774721468.6,2022-04-21T16:00:00.000Z
19,4943,Dai,DAI,multi-collateral-dai,917,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,9104670099.060429,9104670099.060429,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6b175474e89094c44da98b954eedeac495271d0f'}",20,,,2022-04-21T16:00:00.000Z,0.999652706106305,409698743.75492513,55.0784,-0.0053635,0.04494826,0.0496353,0.06667576,-0.04114203,-0.14298242,9101508102.730917,0.4684,9101508102.73,2022-04-21T16:00:00.000Z
20,2,Litecoin,LTC,litecoin,765,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'binance-chain', 'bnb-chain']",84000000.0,70117931.27791464,84000000.0,,21,,,2022-04-21T16:01:00.000Z,113.06184348156971,665529660.462671,-1.2505,-0.65358039,1.19655353,5.37059204,-6.31606092,2.27877845,-8.81213175,7927662571.395046,0.4076,9497194852.45,2022-04-21T16:01:00.000Z
21,1958,TRON,TRX,tron,593,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'bnb-chain']",,101638238858.89653,101638247396.81677,,22,71659659264.0,5131310628.664648,2022-04-21T16:00:00.000Z,0.07160668472843952,2277968224.4219346,116.6235,-3.18706354,14.34728523,19.49480745,13.23481048,15.39893472,10.65926806,7277977326.322834,0.3746,7277977937.69,2022-04-21T16:00:00.000Z
22,3794,Cosmos,ATOM,cosmos,273,2019-03-14T00:00:00.000Z,"['platform', 'cosmos-ecosystem', 'content-creation', 'interoperability', 'binance-chain', 'polychain-capital-portfolio', 'dragonfly-capital-portfolio', 'hashkey-capital-portfolio', '1confirmation-portfolio', 'paradigm-portfolio', 'exnetwork-capital-portfolio', 'injective-ecosystem', 'bnb-chain']",,286370297.0,0.0,,23,,,2022-04-21T16:00:00.000Z,24.650187739113868,379601325.9386924,-3.0657,-0.27133423,1.29027615,2.959202,-12.97206561,-6.0758043,-34.45363931,7059081583.955797,0.3629,0.0,2022-04-21T16:00:00.000Z
23,1975,Chainlink,LINK,chainlink,632,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'bnb-chain']",1000000000.0,467009549.5205637,1000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x514910771af9ca656af840dff83e8264ecf986ca'}",24,,,2022-04-21T16:00:00.000Z,14.122472643543958,482540440.8979109,-2.0093,-0.51110417,1.38306875,4.06456923,-9.27365766,-3.82960232,-27.87730676,6595329587.377949,0.3391,14122472643.54,2022-04-21T16:00:00.000Z
24,7083,Uniswap,UNI,uniswap,355,2020-09-17T00:00:00.000Z,"['decentralized-exchange', 'defi', 'dao', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'arbitrum-ecosytem', 'injective-ecosystem', 'bnb-chain']",1000000000.0,690500003.7285964,1000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x1f9840a85d5af5bf1d1762f925bdaddc4201f984'}",25,,,2022-04-21T16:00:00.000Z,9.486468535830626,250256351.83128807,12.245,-0.7306516,2.46816686,0.61398988,-5.32753328,0.81232626,-32.65376569,6550406559.362261,0.3369,9486468535.83,2022-04-21T16:00:00.000Z
25,1831,Bitcoin Cash,BCH,bitcoin-cash,587,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'binance-chain', 'bnb-chain']",21000000.0,19042568.75,19042568.75,,26,,,2022-04-21T16:00:00.000Z,338.5048982070409,4228720300.380712,-1.2957,-0.79990323,-0.39946777,1.41793366,-8.18925981,12.52109467,-1.10300656,6446002796.319328,0.3314,7108602862.35,2022-04-21T16:00:00.000Z
26,4195,FTX Token,FTT,ftx-token,117,2019-07-31T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'derivatives', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio']",352170015.0,136992148.41874373,332861484.4859715,"{'id': 1839, 'name': 'BNB Beacon Chain (BEP2)', 'symbol': 'BNB', 'slug': 'bnb', 'token_address': 'FTT-F11'}",27,,,2022-04-21T16:00:00.000Z,44.02718299679299,223655282.16131157,79.955,-0.95103107,2.78028904,5.20245542,-3.90931129,7.76185911,2.91235842,6031378387.555856,0.3104,15505053696.39,2022-04-21T16:00:00.000Z
27,3957,UNUS SED LEO,LEO,unus-sed-leo,19,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,953954130.0,985239504.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3'}",28,,,2022-04-21T16:00:00.000Z,5.949951144648416,7429554.37720937,1.7154,0.05061521,0.13459232,2.91368792,-3.82268944,2.21564848,66.46828003,5675980467.735584,0.2918,5862126914.58,2022-04-21T16:00:00.000Z
28,4030,Algorand,ALGO,algorand,205,2019-06-20T00:00:00.000Z,"['pos', 'platform', 'research', 'smart-contracts', 'arrington-xrp-capital-portfolio', 'kenetic-capital-portfolio', 'usv-portfolio', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio']",10000000000.0,6709851454.23062,7138780136.261507,,29,,,2022-04-21T16:00:00.000Z,0.7568275037189399,198390127.94051057,9.2685,-0.48057055,2.4857005,5.0740382,-8.81910024,-10.93938174,-35.14479093,5078200126.43026,0.2612,7568275037.19,2022-04-21T16:00:00.000Z
29,328,Monero,XMR,monero,173,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio']",,18110581.35389217,18110581.35389217,,30,,,2022-04-21T16:00:00.000Z,278.90154234951484,464118711.91865236,63.6035,1.9326796,8.95143178,23.42437955,42.49398458,81.84249477,51.83834554,5051069072.446891,0.2596,5051069072.45,2022-04-21T16:00:00.000Z
30,512,Stellar,XLM,stellar,420,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange', 'smart-contracts', 'hashkey-capital-portfolio']",50001806812.0,24784220902.235683,50001787897.13164,,31,,,2022-04-21T16:00:00.000Z,0.20328461409798304,505897412.508739,21.5532,0.10503981,0.88902271,5.07259035,-1.95921838,3.40897457,-8.86085548,5038250781.830146,0.259,10164598001.98,2022-04-21T16:00:00.000Z
31,1321,Ethereum Classic,ETC,ethereum-classic,296,2016-07-24T00:00:00.000Z,"['mineable', 'pow', 'ethash', 'platform', 'smart-contracts', 'dcg-portfolio', 'bnb-chain']",210700000.0,134351329.87304813,210700000.0,,32,,,2022-04-21T16:00:00.000Z,36.90625299068068,550408907.724583,-4.827,-0.60679374,0.73886422,0.3990293,-14.3604782,34.32867498,29.75200255,4958404169.929109,0.2549,7776147505.14,2022-04-21T16:00:00.000Z
32,18876,ApeCoin,APE,apecoin-ape,120,2022-03-17T12:26:36.000Z,"['collectibles-nfts', 'content-creation', 'gaming', 'entertainment', 'dao', 'governance', 'metaverse', 'animoca-brands-portfolio']",1000000000.0,284843750.0,1000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x4d224452801aced8b2f0aebe155379bb5d594381'}",33,284843750.0,4285587837.0945654,2022-04-21T16:00:00.000Z,15.045398879542084,1777586039.8084111,-34.7457,-0.27099912,-5.98166598,23.58045747,37.60124215,1403.94335568,1403.94335568,4285587837.0945654,0.2206,15045398879.54,2022-04-21T16:00:00.000Z
33,3077,VeChain,VET,vechain,180,2017-08-22T00:00:00.000Z,"['logistics', 'data-provenance', 'iot', 'smart-contracts', 'fenbushi-capital-portfolio']",86712634466.0,64315576989.0,86712634466.0,,34,,,2022-04-21T16:00:00.000Z,0.06165265900023211,283713777.8245416,13.6024,-0.93707035,2.14285258,2.26557485,16.78680273,24.59316142,-3.55544269,3965226336.505992,0.204,5346064483.74,2022-04-21T16:00:00.000Z
34,1966,Decentraland,MANA,decentraland,261,2017-09-17T00:00:00.000Z,"['platform', 'collectibles-nfts', 'gaming', 'payments', 'metaverse', 'boostvc-portfolio', 'dcg-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'polygon-ecosystem', 'play-to-earn']",,1842485368.606961,2193696127.320146,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x0f5d2fb29fb7d3cfee444a200298f468908cc942'}",35,,,2022-04-21T16:00:00.000Z,2.137217996853729,293537612.1066195,-15.6795,-0.06176542,0.64791147,0.61087756,-13.1645354,-19.76973257,-13.86757156,3937792888.726474,0.2024,4688406842.94,2022-04-21T16:00:00.000Z
35,4642,Hedera,HBAR,hedera,94,2019-09-17T00:00:00.000Z,"['dag', 'marketplace', 'enterprise-solutions', 'payments', 'dcg-portfolio']",50000000000.0,19565356900.654297,50000000000.0,,36,19389577881.0,3878426293.6908393,2022-04-21T16:00:00.000Z,0.20002633979419118,59974410.45799418,0.7962,-0.92196603,2.26153342,2.18210698,-7.13195783,-8.21732955,-20.08691159,3913586727.6048994,0.2014,10001316989.71,2022-04-21T16:00:00.000Z
36,8916,Internet Computer,ICP,internet-computer,112,2021-03-23T00:00:00.000Z,"['platform', 'distributed-computing', 'polychain-capital-portfolio', 'exnetwork-capital-portfolio']",,224756444.61396456,480312377.6259402,,37,224866733.64847374,3907930660.0351343,2022-04-21T16:00:00.000Z,17.37887412970682,153386746.98725298,4.8383,-0.81914768,1.60890317,6.4022381,-3.61561109,-7.38097016,-29.08319742,3906013960.7865124,0.2008,8347288353.7,2022-04-21T16:00:00.000Z
37,2280,Filecoin,FIL,filecoin,196,2017-12-13T00:00:00.000Z,"['mineable', 'distributed-computing', 'filesharing', 'storage', 'polychain-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'dcg-portfolio', 'hashkey-capital-portfolio', 'a16z-portfolio', 'winklevoss-capital-portfolio', 'pantera-capital-portfolio', 'web3', 'bnb-chain']",,193576266.0,193576266.0,,38,,,2022-04-21T16:00:00.000Z,19.821372221789513,387556147.9666281,-25.88,-0.79675809,0.6618068,5.26734042,7.54911079,0.52859863,-19.54569289,3836947221.690138,0.1975,3836947221.69,2022-04-21T16:00:00.000Z
38,6892,Elrond,EGLD,elrond-egld,91,2020-09-04T00:00:00.000Z,"['binance-launchpad', 'binance-labs-portfolio', 'electric-capital-portfolio', 'exnetwork-capital-portfolio', 'elrond-ecosystem', 'injective-ecosystem', 'bnb-chain']",31415926.0,21821659.8341253,23016298.0,,39,,,2022-04-21T16:00:00.000Z,165.51224073864472,124233530.43374301,-37.6894,-0.43532808,1.62664235,6.70774673,-10.38772795,5.99714612,4.40174663,3611751815.7825603,0.1859,5199720307.14,2022-04-21T16:00:00.000Z
39,2416,Theta Network,THETA,theta-network,108,2018-01-17T00:00:00.000Z,"['media', 'collectibles-nfts', 'content-creation', 'defi', 'video', 'metaverse', 'huobi-capital-portfolio', 'web3']",1000000000.0,1000000000.0,1000000000.0,,40,,,2022-04-21T16:00:00.000Z,3.4042514972760096,547990287.0457128,204.2364,-1.1217666,10.90256181,12.28317757,9.17005875,14.90821124,-11.42847078,3404251497.2760096,0.175,3404251497.28,2022-04-21T16:00:00.000Z
40,6210,The Sandbox,SAND,the-sandbox,209,2020-08-05T00:00:00.000Z,"['collectibles-nfts', 'content-creation', 'gaming', 'ethereum-ecosystem', 'binance-launchpad', 'metaverse', 'play-to-earn', 'animoca-brands-portfolio']",3000000000.0,1158437853.2233226,3000000000.0,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x3845badAde8e6dFF049820680d1F14bD3903a5d0'}",41,,,2022-04-21T16:00:00.000Z,2.909268556998597,435074667.35672957,-36.9166,-0.32639678,0.80291678,5.11327351,-7.67432278,-9.58417062,-21.43057871,3370206821.6195683,0.1733,8727805671.0,2022-04-21T16:00:00.000Z
41,4157,THORChain,RUNE,thorchain,81,2019-07-23T00:00:00.000Z,"['cosmos-ecosystem', 'decentralized-exchange', 'defi', 'multicoin-capital-portfolio', 'exnetwork-capital-portfolio']",500000000.0,330688061.33445597,334937974.91478544,"{'id': 1839, 'name': 'BNB Beacon Chain (BEP2)', 'symbol': 'BNB', 'slug': 'bnb', 'token_address': 'RUNE-B1A'}",42,224410215.0,2154949338.4671125,2022-04-21T16:00:00.000Z,9.60272391551834,267031189.71049052,-1.6645,-0.64492917,6.88735877,14.1550105,10.61133636,151.01031306,100.75432831,3175506155.152776,0.1634,4801361957.76,2022-04-21T16:00:00.000Z
42,3513,Fantom,FTM,fantom,289,2018-10-29T00:00:00.000Z,"['platform', 'enterprise-solutions', 'defi', 'research', 'scaling', 'smart-contracts', 'fantom-ecosystem', 'injective-ecosystem', 'bnb-chain']",3175000000.0,2545006273.0,2545006273.0,,43,,,2022-04-21T16:00:00.000Z,1.1925588636169209,313776278.0178203,-19.4224,-0.0062174,1.81821323,2.36871943,-8.35542175,-30.92616128,-52.3194375,3035069788.826815,0.156,3786374391.98,2022-04-21T16:00:00.000Z
